,#,,@Username,Country,Topics,Followers,Engagement Rate
26,727,,Tarek Bereddad@tarekbereddad,Morocco,Photography,98.1K,0.20%
27,728,,Hanane Amjad - حنان أمجد@hananeamjad,Morocco,"Actors
Music",98K,0.50%
28,729,,sahara beauty@sahara.beauty,Morocco,"Hair & Beauty
Fashion
Celebrities",98K,0.20%
29,730,,Tmax 🇩🇿@tmax_dz,Morocco,,97.9K,0.70%
30,731,,SOFIA EL ARABI@sofiaelarabii,Morocco,"Fashion
Modeling",97.8K,3.10%
31,732,,Brayan Paquim@brayan_paquim,Morocco,"Fashion
Lifestyle
Celebrities
Technology",97.6K,1.70%
32,733,,Hanaa Dancehall@hanaa_dancehall,Morocco,"Lifestyle
Fashion",97.3K,1.50%
33,734,,Model/Youtuber/Comedian@d_o_x_x_y,Morocco,"Modeling
Fashion
Actors",97.2K,2.50%
34,735,,Anass Eladssaoui@anaselaadssaoui,Morocco,Modeling,97.1K,5.30%
35,736,,Maroc Telecom@maroctelecom,Morocco,,97K,0.10%
36,737,,Signature By Guennoun@signaturebyguennoun,Morocco,"Fashion
Fashion Design
Design",96.8K,0.30%
37,738,,🇲🇦   Makeup By Dounia   💄@makeupby_dounia,Morocco,"Art
Beauty
Fashion",96.6K,0.80%
38,739,,رانية الطاهري 🥀|Ranya Ettahiri@ettahiriranya_official,Morocco,"Fashion
Lifestyle
Modeling",96.4K,3.10%
39,740,,Fatine Benchekroun@benchekrounfatine,Morocco,Fashion,95.9K,0.40%
40,741,,Proudly Moroccan 🇲🇦@majdaelmans,Morocco,"Fashion
Modeling
Fashion Design",95.8K,0.20%
41,742,,كاميليا مجاهد 🇲🇦@kamiliamoujahid.official,Morocco,"Modeling
Fashion
Dance",94.9K,0.90%
42,743,,walid chakouri@walidchakouri23,Morocco,"Business
Entrepreneur",94.7K,2.00%
43,744,,Blood brothers 💪@blood_brothers05,Morocco,"Coaching
Training
Fitness",94.6K,1.60%
44,745,,💎B A S S M A💎@bassma_sid,Morocco,Fashion,94.3K,1.50%
45,746,,🎬 حـــــــــــــاجة مزيــــانة@sulaiman_afrij,Morocco,"Modeling
Actors",94.2K,9.50%
46,747,,Kaoutar El 😊@kaoutar_el_2,Morocco,"Art
Beauty
Fashion",94K,0%
47,748,,MGHARBA FAMILY.مغاربة فاميلي@mgharba_family_,Morocco,"Fashion
Modeling",93.9K,0.20%
48,749,,✨ || BiENVENUE À TOUS || 🇩🇿@photo__damour,Morocco,"Dogs
Pets",93.3K,0.50%
49,750,,Mehdi Lebchiri || مهدي البشيري@iamlebchiri,Morocco,"Fashion
Lifestyle
Art",93.3K,5.10%
50,751,,Welcome To My Kitchen ©@yass_cooking,Morocco,"Lifestyle
Sports
Fashion",92.9K,4.80%
51,752,,Alaoui Traiteur Tanger@alaouitraiteurtanger,Morocco,Events,92.9K,0.30%
52,753,,Abayachicshop@abayachicshop2,Morocco,"Fashion
Lifestyle",92.5K,0%
53,754,,Bahou Hamza@ba70u,Morocco,"Fashion
Modeling
Lifestyle",92.2K,2.30%
54,755,,Abdealitawfik@abdealitawfik,Morocco,"Fashion
Modeling
Lifestyle",92.1K,1.30%
55,756,,Moroccan heart🇲🇦🇲@moroccan_heart85,Morocco,,92K,0%
56,757,,Mohamed Lamnabhi | محمد لمنبهي@lamnabhi,Morocco,,91.7K,15.90%
57,758,,Salwa JD🇲🇦'@salwa.jd,Morocco,"Modeling
Fashion
Lifestyle",91.6K,2.60%
58,759,,Chef Chouhaib  ⤵Ⓜ️🇲🇦🇲🇦🇦🇪@chefchouhaib__,Morocco,"Chef
Food",91.5K,0.20%
59,760,,laila Boussalman makeup artist@laila.boussalman,Morocco,"Art
Beauty
Events",91.5K,0.60%
60,761,,tv-program presenter@bouchracharaf,Morocco,"Lifestyle
Sports
Journalists",91.5K,2.20%
61,762,,UniqueShop ( US Brands SARL )@uniqueshop_morocco,Morocco,"Beauty
Lifestyle
Fashion",91.2K,0%
62,763,,Mourad Bouriki / مراد بوريقي@mourad_bouriki,Morocco,,91.1K,0.20%
63,764,,Orthosmile Maroc Dental Clinic@orthosmilemaroc,Morocco,,91.1K,0.20%
64,765,,Amine Idbenmouh@amiine.officiele,Morocco,"Fashion
Lifestyle
Styling",90.6K,0.06%
65,766,,AyoubHamomi@ayoubhamomi,Morocco,"Moms
Fashion
Lifestyle",90.4K,0.30%
66,767,,Reem 🇲🇦@reem.officiel,Morocco,"Actors
Singer
Music
Modeling",90.3K,1.20%
67,768,,Adil Belhajjam عادل بالحجام@belhajjamadil,Morocco,,90.3K,1.10%
68,769,,انسطا ماروك اوفيسيال 👻@insta_maroc_officiel,Morocco,"Fashion
Gym
Modeling",90.1K,0.50%
69,770,,🔱 Oussama | أسامة 🔱™@oussama_criss,Morocco,"Modeling
Fashion
Lifestyle",90K,0.90%
70,771,,bijouterie.jawhara@bijouterie.jawhara,Morocco,,89.9K,0.20%
71,772,,❤💚 صفحة مغربية 💚❤@moroccan_crazy,Morocco,,89.9K,1.10%
72,773,,harit ch@ahmouchharit,Morocco,"Modeling
Fashion
Art",89.4K,2.40%
73,774,,Camélia El Badia@mimabycami,Morocco,"Fashion
Lifestyle",89.2K,15.50%
74,775,,Mohamed El Mir@anouarelmir,Morocco,,89.2K,1.30%
75,776,,WEST #TheGhost@westofficiel,Morocco,"Music
Singer
Producers",89.2K,1.80%
76,777,,Espada Yassine@espada.yassinee,Morocco,"Photography
Travel
Portraits
Celebrities
Fashion
Hair & Beauty
Technology",89.1K,2.30%
77,778,,mohamed benradi@mohamed_benradi,Morocco,"Modeling
Technology
Photography",89K,0%
78,779,,ASMA youtuber@asmaschannel,Morocco,"Moms
Dogs
Pets",88.9K,5.80%
79,780,,🎀 ASMA 🎀@nasma.couture,Morocco,"Fashion
Modeling",88.7K,0%
80,781,,Beauty Time@beauty_time_le_blog,Morocco,"Beauty
Lifestyle
Fashion
Photography",88.7K,0.90%
81,782,,سلطانة@miley.officiel,Morocco,,88.7K,6.50%
82,783,,Salon-nice-hair-agadir@salon.nice.hair.agadir,Morocco,"Styling
Hair Salons
Art",88.2K,0%
83,784,,Sami Hamza@hamza_ssami,Morocco,"Band
Modeling
Music",87.8K,17.30%
84,785,,Caftans haute couture@mescreationsbysanaaberrada,Morocco,"Fashion
Fashion Design
Lifestyle",87.8K,0.10%
85,786,,Morrocan🇲🇦@ell_sallma,Morocco,"Fashion
Modeling
Lifestyle",87.7K,2.40%
86,787,,Maison Majorelle Tanguif@maisonmajorelletanguif,Morocco,"Events
Fashion
Modeling",87.7K,6.50%
87,788,,صفحة مغربية بامتياز 💯@bonjour_les_marocains,Morocco,"Styling
Modeling
Art",87.4K,1.70%
88,789,,🔘 LOVE B'DARIJA 🔘@love_bdarija,Morocco,,87.3K,2.40%
89,790,,MAROKINOOFFICIAL@marokinoofficial,Morocco,Fashion,86.9K,1.40%
90,791,,🔹MyProtein® TeamMate 🔹 👦🏽🛡@younes_essoussi,Morocco,"Lifestyle
Sports
Fitness",86.2K,4.80%
91,792,,Oussama Tounsi | أسامة تونسي@oussamatounsiofficiel,Morocco,"Fashion
Lifestyle
Art",86.1K,0.60%
92,793,,DIY🌺VIDs🌺MY HOMEⓂ️@home_icing,Morocco,"Design
Moms
Interior Design",86.1K,0.70%
93,794,,Saoussane Hmidouch@affordably0chic,Morocco,"Fashion
Lifestyle",86K,3.20%
94,795,,Snapchat : Najwasaleh3🍰@najwaabousaleh,Morocco,"Modeling
Art
Music",85.9K,0%
95,796,,El Bradi Reda@reda_elbradi,Morocco,"Lifestyle
Fashion
Modeling",85.8K,1.20%
96,797,,Maghreb voices@maghrebvoices,Morocco,,85.7K,0.70%
97,798,,Glamour Makeup OfficialAccount@glamour.makeup.ma,Morocco,"Beauty
Art
Business",85.7K,0%
98,799,,Riad BE Marrakech@bemarrakech,Morocco,"Travel
Fashion",85.7K,1.00%
99,800,,BADRYDER™️@badryderofficial,Morocco,,85.6K,8.20%
