,#,,@Username,Country,Topics,Followers,Engagement Rate
58,859,,⚜️𝓡𝓲𝓶 𝓯𝓪𝓴𝓱𝓪𝓻𝓲⚜️.@rim.fakhari,Morocco,Fashion,76.7K,3.60%
59,860,,Yαઽઽiท૯ A૨ઽઽαℓαท૯ 👑@arssa_music,Morocco,"Music
Singer
Producers",76.6K,3.60%
60,861,,Anas Alasbahi 2@a.alasbahi02,Morocco,,76.5K,6.20%
61,862,,By Loupiland - Loubna@loupiland,Morocco,"Lifestyle
Fashion
Beauty",76.4K,0.50%
62,863,,Doha Al Jaouhari.♌@dohaaljhr,Morocco,"Fashion
Lifestyle
Travel
Celebrities
Technology
Photography",75.8K,2.20%
63,864,,Sam Jones ®️@fashionbysamjones,Morocco,"Basketball
Fashion
Lifestyle",75.7K,0%
64,865,,Siham Idrissi@siham_idrissi_,Morocco,,75.7K,0.40%
65,866,,C H A I M A A  E L A T M A N I@chaimaaelatmani,Morocco,"Lifestyle
Fashion",75.6K,0.70%
66,867,,Leila B Makeup Artist@leila_b_makeup_artist,Morocco,"Art
Beauty",75.4K,1.50%
67,868,,LM  D R Σ S S I N G ®️@lmdressing,Morocco,"Fashion
Lifestyle",75K,0.10%
68,869,,NAFiLi Hassna@nhluxurybridalstylist,Morocco,"Fashion
Styling
Lifestyle",74.9K,0.60%
69,870,,Hamza Malyani (HAMZINO)@hamzino.official,Morocco,"Travel
Fashion
Photography",74.7K,1.50%
70,871,,DJ FABULOUS@realdjfabulous,Morocco,"Music
DJ
Producers",74.6K,3.00%
71,872,,👻 |  Snapchat : hamza.enor  😂@hamza.enor,Morocco,"Lifestyle
Fashion
Sports
Celebrities
Design
Technology",74.5K,1.00%
72,873,,Anas Essamlali@anasessamlali,Morocco,"Photography
Modeling",74.4K,0.30%
73,874,,Caprices de lili@caprices_de_lili,Morocco,"Lifestyle
Sports
Fashion",74.3K,0%
74,875,,Youtuber📽 Influencer😍 Actrice🎭@khawlatayab,Morocco,Art,74.3K,4.30%
75,876,,Express Aversa Store@expressaversa,Morocco,"Fashion
Styling",74.1K,0%
76,877,,Mr.Falouja@mr.falouja,Morocco,,73.6K,0.50%
77,878,,DJ HARONE Synthé@djharone_synthe,Morocco,"Music
DJ",73.4K,0.60%
78,879,,Bilal Daifi@bilaldaifi,Morocco,Modeling,73.4K,6.70%
79,880,,Najwa@najwajamaloukii,Morocco,"Art
Styling
Beauty",73.3K,0%
80,881,,Wydad Win's05 CasaBlanca [✖🔴✖]@wydadwins05_casablanca,Morocco,,72.9K,1.10%
81,882,,Hind Koula fashion designer@hindkoulaofficiel,Morocco,"Fashion
Fashion Design",72.7K,1.40%
82,883,,Jalila Choukaïli@jc.couture,Morocco,"Fashion
Lifestyle
Fashion Design",72.4K,0.60%
83,884,,Mohamed Nouinou@nouinou_sport,Morocco,,72.3K,1.80%
84,885,,RED SUPA@redsupa,Morocco,"Music
Singer",72.1K,0.60%
85,886,,Loubna Cherkaoui Official@loubna.singer,Morocco,Fashion,72K,0.50%
86,887,,Couple | Mr&Mrs Bennani@fattouma_soufiane,Morocco,"Fashion
Modeling",71.7K,10.50%
87,888,,afechkoubrahim@afechkoubrahim,Morocco,,71.5K,0.60%
88,889,,kawtar___Elyakoti@kawtar___elyakoti2001,Morocco,"Music
Modeling",71.3K,0.30%
89,890,,LACAGE لاكاج@lacage.ma,Morocco,,71.3K,2.70%
90,891,,👑فاطمة الزهراء👑@fa_tii_xa_,Morocco,Moms,71.3K,0%
91,892,,SALMA  EL YOUBI ✨🌈@elyuubi,Morocco,,71.1K,0%
92,893,,Your Setisfaction Is The Main@geraiflanel,Morocco,Fashion,71.1K,0%
93,894,,LE MEILLEUR DU MAROC ICI🇲🇦@royaume_des_marocaines,Morocco,,71K,2.60%
94,895,,𝕊𝕃𝟙𝟝 ||هـبــةﷲ ۛ ּﷻ@saadlamjarred15,Morocco,"Video Games
Actors
Singer",71K,0%
95,896,,MAJDUBI 🥀@medmajdubi,Morocco,"Fashion
Lifestyle
Beauty",70.9K,3.50%
96,897,,✌@tantanloto633,Morocco,,70.9K,0.10%
97,898,,Prestige Hijab@prestige_hijab,Morocco,"Fashion
Lifestyle",70.9K,0.20%
98,899,,Aïda Bchms 💍@aida.benchemsi,Morocco,"Fashion
Travel
Lifestyle",70.8K,6.10%
99,900,,👑oumaima👸maatalla👑@oumaima_maatalla,Morocco,"Fashion
Gym
Modeling",70.6K,1.00%
