,#,,@Username,Country,Topics,Followers,Engagement Rate
50,651,,Australian Medical Centre@australian_medical_centre,Morocco,"Lifestyle
Sports",114.8K,0.10%
51,652,,Hani Khattab@hanikhattab.official,Morocco,"Modeling
Singer",114.4K,1.40%
52,653,,Bad Flow باد فلو@badflow.official,Morocco,"Music
Modeling
Singer",114.3K,1.70%
53,654,,Badr Akhlouf 🇲🇦بدرالدين أخلوف@badr_akhlouf,Morocco,"Actors
Modeling
Music",114.2K,1.50%
54,655,,🎀 emone beauty 🎀@emone_beauty,Morocco,"Fashion
Lifestyle
Modeling",113.6K,0.80%
55,656,,K H A O U L A | خولة@by_khaoula,Morocco,"Fashion
Lifestyle",113.5K,2.30%
56,657,,Hajar   🎵    هجر@hajarsdofficial,Morocco,"Modeling
Singer
Music",113.5K,1.30%
57,658,,Skowza@zakariae_mouwafaq,Morocco,,112.8K,0.10%
58,659,,Regina@regiwafae,Morocco,"Modeling
Music",112.3K,0.50%
59,660,,Leila El Berrak ليلى البراق@leilaelberrak,Morocco,"Music
Modeling
Lifestyle",112.3K,0.40%
60,661,,Beniiz'art زينب@beniizart,Morocco,"Design
Interior Design
Lifestyle",112.2K,0%
61,662,,Hasnaa Friki@hasnaafriki,Morocco,"Art
Beauty",112K,0.30%
62,663,,Ayasri Luxury@a_ayasriluxury,Morocco,"Luxury
Fashion",111.7K,0.10%
63,664,,علمتني الأمومة@ilhamnejjariofficiel,Morocco,Moms,111.6K,0.30%
64,665,,💐 SOUHAIR💐 💐BEAUTY  💐@souhair.beauty,Morocco,"Modeling
Fashion",111.6K,0.60%
65,666,,said jrifi | سعيد جريفي@saidjrifi,Morocco,"Technology
Photography
Film, Music & Books",111.5K,0.60%
66,667,,"Klomklinsuk, J.@kararannn",Morocco,"Streetwear
Shoes
Fashion",111K,1.00%
67,668,,SALLY LASELY سالي لازلي@badass_lasely,Morocco,"Fitness
Training
Coaching",110.3K,9.20%
68,669,,👑⚫️الوداد الرياضي ⚫️👑@wydad_family05,Morocco,"Fashion
Gym
Modeling",110.2K,2.10%
69,670,,Soufiane Agn@agnsoufiane,Morocco,"Fashion
Modeling
Lifestyle",110.1K,12.80%
70,671,,Tarek Hamwieh@tarekhamwieh,Morocco,"Fashion
Coaching
Fitness",109.7K,0.50%
71,672,,Galaxy_pool@galaxy_pool,Morocco,,109.4K,0.60%
72,673,,Cuisine oum Nidal@cuisineoumnidal,Morocco,"Chef
Food",109.2K,0.60%
73,674,,ZILA RUSSI@zilarussi.shoes,Morocco,Shoes,108.7K,0.10%
74,675,,كوثر 💎 ال-ياقوت@el_yaqout,Morocco,"Beauty
Art
Lifestyle",107.9K,1.30%
75,676,,Festival Mawazine@mawazine,Morocco,"Events
Lifestyle
Fashion",107.8K,1.00%
76,677,,Saad Lamjarred 🇲🇦@_saad_lamjarred,Morocco,,107.5K,0.50%
77,678,,Rafinity Haute Couture@rafinityhautecouture,Morocco,"Fashion
Fashion Design",107.5K,0.40%
78,679,,﷽@selma.laacha,Morocco,"Music
Singer
DJ",107.5K,0.60%
79,680,,Hind_ague@hind_ague,Morocco,Fashion,107.4K,4.70%
80,681,,Camille Petrouvi@camillepetrouvi,Morocco,"Art
Beauty
Business",107.3K,0.40%
81,682,,Mehdy Nejmeddine@nejmeddiine,Morocco,"Fashion
Travel
Journalists",107.3K,1.60%
82,683,,Inspiring Model/Influencer@imansymonds,Morocco,"Moms
Fashion
Modeling",107K,1.90%
83,684,,nouamaneounaceur1| نعمان اناصر@nouamaneounaceur1,Morocco,,106.9K,0.30%
84,685,,Hajar Anabir@theroutinebyhajar,Morocco,"Celebrities
Fashion
Design",106.1K,2.20%
85,686,,Fatine Zaïmi ✨@fatine_zaimi,Morocco,"Lifestyle
Fashion
Photography",106.1K,4.10%
86,687,,NAYA@nadyalakkioui,Morocco,"Actors
Fashion
Modeling
Styling",105.6K,0%
87,688,,مطبخ ام انس@matbakh_om_anas,Morocco,"Food
Cooking",105.5K,0.70%
88,689,,Abdou Rhanem@abdourh,Morocco,"Modeling
Film, Music & Books
Design",105.4K,9.70%
89,690,,Hajar Beauty@hajar.beauty,Morocco,"Fashion
Lifestyle
Beauty",105.3K,1.00%
90,691,,🌹   ﷽  🌹@chaimaeelriffi,Morocco,Fashion,105K,0%
91,692,,Zineb Tmoulik@zinebtmk,Morocco,"Fashion
Lifestyle
Styling",104.9K,3.00%
92,693,,"Making History.[NL,FR,D,ES,MA]@morocco.nl",Morocco,"Music
Modeling",104.9K,1.70%
93,694,,Redouane Diri رضوان الديري@diriredouane,Morocco,,104.5K,0.30%
94,695,,AblaعَRaafat@ablaraafat,Morocco,"Lifestyle
Fashion
Modeling",104.1K,0.50%
95,696,,الوداد الامة ₩@wydad.lagrande,Morocco,Soccer,103.9K,0.50%
96,697,,Ritaj Mays 🕊@ritaj_mays,Morocco,"Modeling
Art
Fashion",103.8K,1.10%
97,698,,A D I L  B E N H E R R O U 👑@adil.benherrou,Morocco,Modeling,103.6K,0%
98,699,,Julien Scussel@julienscussel,Morocco,"Soccer
Modeling",103.3K,1.70%
99,700,,ACHRAF TOUDA@achraftouda97,Morocco,,103.2K,0%
