,#,,@Username,Country,Topics,Followers,Engagement Rate
21,422,,Massa Jewelry ®@massa.jewelry,Morocco,"Fashion
Lifestyle
Jewelry",198.1K,0%
22,423,,مَنَــــــار@manar.ch,Morocco,"Fashion
Modeling
Art",197.6K,4.50%
23,424,,Issam Sarhan || عصام سرحان@issamsarhan,Morocco,,197.3K,0.50%
24,425,,Mehdi Mozayine@mehdimozayine,Morocco,"Singer
Music
Songwriting",197.1K,2.60%
25,426,,İmad hawari@imadhawari,Morocco,"Modeling
Fashion",196.9K,0.10%
26,427,,🎀foufa Mjk🎀@foufamjk,Morocco,"Art
Beauty",194.8K,1.70%
27,428,,Moroccan_You@moroccan_you,Morocco,Video Games,193K,0.20%
28,429,,ChebRayanOfficiel@chebrayanofficiel,Morocco,Music,192.4K,0.20%
29,430,,Designer Chaimae Masmoudi@designer_chaimae,Morocco,"Fashion
Art
Events",192.3K,0.20%
30,431,,amelml@amelmasrar,Morocco,"Lifestyle
Fashion",192.3K,1.90%
31,432,,Street.ART@maroc.streetart,Morocco,,192.3K,0.70%
32,433,,Abderahim Achchakir@chaakir55,Morocco,Soccer,191.3K,11.00%
33,434,,Soukaina Chekaoui Official@soukainachekaouiofficial,Morocco,"Fashion
Modeling
Art",190.7K,0.90%
34,435,,Moroccan Fame@moroccanfame,Morocco,,190.6K,0%
35,436,,Cuisine Amina أمينة المراكشية@cuisine.amina,Morocco,"Food
Cooking",190.2K,0.30%
36,437,,OB25@omar_boutayeb,Morocco,Sports,190.2K,5.40%
37,438,,BassmaBousselCosmetics@bassmabousselcosmetics,Morocco,"Beauty
Lifestyle
Art",189.4K,0.60%
38,439,,inwi@inwi_maroc,Morocco,"Lifestyle
Sports",189.1K,0.20%
39,440,,MOUAD EL QASMI@mouadelqasmi,Morocco,"Fashion
Lifestyle
Styling
Health & Fitness
Photography
Travel",188.1K,1.20%
40,441,,Rafinity@rafinity_officiel,Morocco,"Fashion
Lifestyle",188K,0.10%
41,442,,AMIR  WALID@k.keeyvi,Morocco,"Modeling
Music
Fashion",187.6K,13.80%
42,443,,Noussaiba Essatte نُسيبة السطي@noussaiba.essatte,Morocco,Fashion,187.3K,2.70%
43,444,,Abdel Mounaim Chaif Official@abdelmounaimchaif,Morocco,"Music
Singer",186.7K,0.10%
44,445,,legend 💟 family 💜@morocco_family,Morocco,,186.4K,0.30%
45,446,,style morocco@style_maroc_lux,Morocco,"Fashion
Lifestyle
Styling",186.3K,0.40%
46,447,,Imane Daoudi@imane.d,Morocco,"Soccer
Lifestyle
Fashion",186K,0.50%
47,448,,Rhany Kabbadj@rhanykabbadj,Morocco,"Lifestyle
Fashion",185.8K,0.50%
48,449,,aymaneserhani@aymaneserhani_fansoff,Morocco,"Lifestyle
Fashion
Music",185.6K,0.50%
49,450,,Saida Miri@saidamiriofficiel,Morocco,"Art
Fashion
Beauty",184.5K,0.20%
50,451,,Mosaic Jewels | Canada@mosaic.jewels,Morocco,"Lifestyle
Fashion",184.4K,0%
51,452,,MERYEM ELAB PRO Makeup Artist@meryem.elab,Morocco,"Art
Beauty",184.4K,0.30%
52,453,,TAGNE@tagneofficiel,Morocco,"Music
Actors",183.7K,7.80%
53,454,,bochra khairat👑 بشرى خيرات@bochra.khairat,Morocco,"Fashion
Lifestyle",183.7K,0.20%
54,455,,Betty Taoutel@betty_taoutel,Morocco,"Actors
Modeling",183.4K,0.50%
55,456,,Salma Kamal 🎥🎬 سلمى كمال@salmakamalofficiel,Morocco,"Fashion
Lifestyle",182.5K,7.10%
56,457,,Nasser Akabab@a.k.a_babe,Morocco,"Travel
Photography",181.9K,2.30%
57,458,,Abla zemmama@ablazemmama,Morocco,"Moms
Lifestyle
Fashion",181K,1.40%
58,459,,Sarah Perles@sarahperles,Morocco,"Modeling
Fashion
Art",180.7K,6.40%
59,460,,Ameera London@ameeralondon,Morocco,"Beauty
Art
Hair & Beauty
Fashion
Celebrities",180.7K,0%
60,461,,Arousati by Bahija Chamalia@arousatiofficiel,Morocco,"Events
Fashion",179.9K,0.30%
61,462,,🇲🇦 Morroco.for.ever 🇲🇦@morroco.for.ever,Morocco,,179.9K,0.60%
62,463,,swelah | صويلح@swaylahsoghar,Morocco,"Fashion
Gym
Modeling",179.3K,0.70%
63,464,,houda@houdaa.riahi,Morocco,"Moms
Fashion
Lifestyle",178.2K,1.00%
64,465,,الصفحة الرسمية|خديجة_صهيب@khadija_souhaibe_officielle,Morocco,Modeling,178.1K,2.40%
65,466,,Miniso Maroc@minisomaroc,Morocco,"Lifestyle
Fashion
Sports",176.9K,1.00%
66,467,,HAZE  هايز  💥@haze.marryme,Morocco,"Fashion
Modeling
Lifestyle",176.8K,3.70%
67,468,,@zakariafathi_,Morocco,"Modeling
Celebrities
Fashion
Technology
Health & Fitness",176.7K,1.00%
68,469,,Yassine Ghazi@ysnghazi,Morocco,"Soccer
Fashion
Modeling
Actors",176.4K,0%
69,470,,💚 SOLO RAJA CLUB ATHLETIC 💚@soloraja1949,Morocco,"Coaching
Training
Fitness",175.8K,1.40%
70,471,,⬜⬛  Yasser Ezzahir ⬛⬜@yasserezzahir,Morocco,,175.7K,0.30%
71,472,,H I J A B 👑 S T O R E@bantik.fr,Morocco,"Lifestyle
Fashion",175.7K,1.30%
72,473,,LilZoo@lilzooisme,Morocco,"Singer
Music",175.6K,5.40%
73,474,,IDDER Makeup@idder.makeup,Morocco,"Lifestyle
Beauty
Fashion",174.7K,0%
74,475,,🇲🇦ⵣ@moroccansofficial,Morocco,,174.3K,0%
75,476,,Imane bouhazzama@imanebouhazzama,Morocco,Fashion,173.1K,0.60%
76,477,,اكرام الريحاني 📍@ikram_raihani,Morocco,,173K,0.50%
77,478,,Kenزanafy•officiel@nafykenza,Morocco,"Fashion
Lifestyle",172.9K,0.50%
78,479,,Moroccan.monarchy_@moroccan.royals,Morocco,Fashion,172.9K,1.40%
79,480,,Amina Allam@aminaallam,Morocco,"Pets
Dogs
Fashion
Health & Fitness",172.4K,0.30%
80,481,,MAKEUP BY MIMO 🧿@makeupby_mimo,Morocco,"Beauty
Art
Fashion",171K,0%
81,482,,Imad Kotbi@imadkotbi,Morocco,,170.8K,0.20%
82,483,,ماجد الدحماني@only1majed,Morocco,,170.6K,0.10%
83,484,,Kingdom Of Morocco 🇲🇦@proudlymoroccan,Morocco,"Photography
Travel
Nature & Outdoors",169.9K,0.90%
84,485,,Ibrahim Jaidi@ibrahimjaidi,Morocco,"Lifestyle
Fashion",169.3K,4.70%
85,486,,أشرف الفرقاني@achraf_elforkani,Morocco,,169.1K,4.40%
86,487,,Sabrine Jouabri@sabrine.jouabri,Morocco,"Lifestyle
Fashion
Modeling",167.4K,1.80%
87,488,,Amine Ennaji🎥@amineennajiofficiel,Morocco,Actors,167.2K,1.00%
88,489,,GroupeGPM@generation_pour_mariage,Morocco,"Lifestyle
Fashion",167.1K,0.80%
89,490,,EL MEHDI BELAYACHI@elmehdibelayachi,Morocco,"Modeling
Actors",166.4K,3.50%
90,491,,❤ÀÝMÄÑ💍ŚÀFÁÄ👑@ayman_rajal_safaa,Morocco,,165.8K,2.30%
91,492,,وئام 🎀 WIAM@wiam_isai,Morocco,"Fashion
Modeling",165.4K,4.70%
92,493,,Najla Qebibo@najlaqebibo,Morocco,"Moms
Fashion
Modeling",165K,1.80%
93,494,,Saber Chaib@saberchaib1,Morocco,"Music
Actors",164.4K,0.60%
94,495,,Les Badadistes@les_badadistes,Morocco,"Lifestyle
Fashion
Sports",163.7K,6.20%
95,496,,الزهراء ★@ezzahrae_,Morocco,"Fashion
Lifestyle",163.3K,0%
96,497,,Malakiies@malakiies,Morocco,"Fashion
Lifestyle
Styling
Hair & Beauty
Celebrities",162.7K,4.80%
97,498,,equipe_nationale_du_maroc@les_lions_du_maroc_,Morocco,,162.6K,0%
98,499,,Nada@nada_fashionlover,Morocco,"Lifestyle
Fashion",162.5K,0.02%
99,500,,Zakiabeauty@zakiabeauty,Morocco,Fashion,162.3K,1.50%
