,#,,@Username,Country,Topics,Followers,Engagement Rate
27,128,,Kzm@kazemchamas_official,Morocco,"Actors
Modeling
Fashion
Nature & Outdoors
Travel
Film, Music & Books
Photography
Architecture",636.2K,1.60%
28,129,,Arryadia@arryadiatv,Morocco,"TV Channel
Sports
Fitness",633.5K,0.10%
29,130,,🌸﷽🌸@hijabiselegant,Morocco,,630.4K,0.10%
30,131,,Huda Chay - هدى شاي@hudachay,Morocco,"Fashion
Lifestyle",628.4K,0.70%
31,132,,Foulane Mehdi@foulaneelmehdi,Morocco,,625.4K,1.80%
32,133,,I S S A M  K A M A L@issamkamalofficial,Morocco,"Music
Lifestyle
Actors",613.2K,0.10%
33,134,,SALWA ANLOUF 👑 سلوى أنلوف@salwaanlouff,Morocco,"Fashion
Lifestyle",607.4K,8.10%
34,135,,Bouba C’est Mon Nom De Famille@youssefbouba,Morocco,Actors,606.3K,4.20%
35,136,,Tattoos Inspiration & Ideas@ink.tatts,Morocco,"Art
Piercing
Celebrities
Hair & Beauty
Fashion",602.4K,0.40%
36,137,,VΛN \ فّان 🇲🇦@djvan_bk,Morocco,"Music
Singer
Entertainment",601.8K,0%
37,138,,Kamar Saadaoui@hamaka_officiel,Morocco,"Fashion
Lifestyle
Modeling",596K,1.50%
38,139,,munir Mohamedi@muny1,Morocco,Soccer,595.8K,2.20%
39,140,,Mister You@mryouofficial,Morocco,,586.2K,6.50%
40,141,,🌸 Hindziadi - هند زيادي  🌸@hindziadi,Morocco,,585K,5.60%
41,142,,رضوان برحيل - REDONE BERHIL@redoneberhil,Morocco,,584.5K,0.60%
42,143,,Zinab Oussama / زينب أسامة@zinaboussama01,Morocco,,580.7K,0.30%
43,144,,Farah Abelhadj@farah.farabian,Morocco,"Lifestyle
Fashion",577K,0.70%
44,145,,مسلسل حب أعمى ❤️@lo_ovee,Morocco,,570.9K,0.80%
45,146,,Sonia Ngadi@soniangadi,Morocco,"Lifestyle
Fashion",569.5K,0.90%
46,147,,Ahlam charaf eddine@ahlamcharafeddine,Morocco,"Moms
Fashion",565.9K,0.40%
47,148,,Sortir Au Maroc@sortiraumaroc,Morocco,"Lifestyle
Sports
Fashion",561.7K,0%
48,149,,K H A O U L A / خولة  علوي🇲🇦@khaoulaalaouii_1,Morocco,,556.5K,0.40%
49,150,,💎الإخوة 👫 علي و مريم الزايدي@alii_ezzaidi1,Morocco,,551.4K,7.90%
50,151,,Fadwa  Fakhari 💄@fadwa.fakhari,Morocco,"Fashion
Lifestyle",547.8K,4.30%
51,152,,Call me Rita or ام الغيث 🐺✨👑@wolfie_bby,Morocco,"Fashion
Modeling
Actors",544.9K,7.30%
52,153,,Hend Star Official@hendstarofficial,Morocco,"Fashion
Modeling",543.8K,0.80%
53,154,,𝐀𝐲𝐨𝐮𝐛 𝐈𝐝𝐫𝐢 𝐎𝐟𝐟𝐢𝐜𝐢𝐞𝐥@ayoubidri,Morocco,,543.1K,4.70%
54,155,,LIOMET SARL@liomet_boutique,Morocco,"Modeling
Fashion",542.9K,0%
55,156,,Mehdi Bennani@mehdibennani_25,Morocco,,536.9K,0.20%
56,157,,Somadina_officiel️💎@dina__officiel,Morocco,"Soccer
Music",535K,1.40%
57,158,,هند المكاوي@hindelmekaoui,Morocco,"Art
Beauty
Events",530.6K,0.70%
58,159,,Maya Dbaich Officiel@maya_dbaich_officiel,Morocco,"Dance
Choreographer
Modeling",526.5K,1.80%
59,160,,S H I E M A E  👑  شيماء@shiemae_,Morocco,,525.8K,0%
60,161,,خياطة الرندة و الطرز والتنبات@randa__tarz_,Morocco,"Coaching
Fitness",524.3K,0.10%
61,162,,Elbotola : البطولة@elbotola,Morocco,Soccer,519.4K,0%
62,163,,Adil Echbiy 🇲🇦 عادل إشبي@echbiyadil,Morocco,,514.3K,1.10%
63,164,,Jamal Ben Saddik@jamalbensaddik,Morocco,Modeling,507.3K,5.10%
64,165,,Lamia Zaidi | لمياء الزايدي@lamiazaidi,Morocco,"Music
Singer
Modeling",505.8K,0.20%
65,166,,Y A S M E R i Z@yasmeriz,Morocco,,502.5K,0.90%
66,167,,Najat Aatabou - نجاة اعتابو@najataatabou1,Morocco,"Fashion
Lifestyle
Modeling",499.4K,0.60%
67,168,,Jordan Taylor Wright@taylorcutfilms,Morocco,"Photography
Modeling
Fashion",499.1K,0.80%
68,169,,🕶⚪👓🔴🕶🔵BIENVENUE🔵🕶🔴👓⚪🕶@reflex_optic_officiel,Morocco,,498.5K,0.70%
69,170,,Doc samad@doc_samad,Morocco,"Lifestyle
Fashion",496.7K,0.30%
70,171,,Reda El Maroufi@relm_27,Morocco,"Entrepreneur
Business",495.8K,1.90%
71,172,,Anouar Farhat@anouarfarhat,Morocco,"Music
Entertainment",490.4K,8.10%
72,173,,Khalid Sheriff@khalidsheriff,Morocco,"Fashion
Lifestyle
Modeling",490K,0.80%
73,174,,Amina Dehbi | أمينة الذهبي@amina.dehbi,Morocco,Video Blogger,488.7K,4.90%
74,175,,Romeo Couture Officiel@romeo_couture_officiel,Morocco,"Fashion
Fashion Design
Modeling",480.3K,0.20%
75,176,,MRT N1 AU 🇲🇦@moroccanraptrolls,Morocco,"Singer
Music
Entertainment",480.1K,1.30%
76,177,,Ali Ssamid علي الصامد@alissamid,Morocco,,477.8K,2.30%
77,178,,HAFSA@hafsael_,Morocco,"Beauty
Art
Business",474.9K,1.80%
78,179,,DJ Hamida@djhamidaofficiel,Morocco,"Lifestyle
Art
Music",469.6K,0.90%
79,180,,saadia ladib@ladibsaadiaofficiel,Morocco,Actors,468.5K,0.90%
80,181,,OULFA@oulfaxoul,Morocco,"Fashion
Beauty
Art",467K,5.20%
81,182,,𝕬𝖒𝖆𝖑 𝕭𝖊𝖓 𝕸𝖔𝖍𝖆𝖒𝖊𝖉 🕊 أمل بن محمد@amal_ben_muhamed,Morocco,Fashion,466.2K,2.30%
82,183,,Loubna 36 🤪🎬@loubna_mourid,Morocco,"Fashion
Lifestyle
Styling",463.6K,1.90%
83,184,,Fashion & InstaBlogger@chaimaa_mab,Morocco,"Fashion
Modeling
Photography",462.2K,1.10%
84,185,,Şeyma Korkmaz/TuRuNCu@seymakorkmaz,Morocco,,460.3K,2.00%
85,186,,Samira EL BELOUI@s.elbeloui,Morocco,,458.6K,0.90%
86,187,,🌍PAGE OF THE WORLD🌍@les_couples_marocains1,Morocco,"Modeling
Fashion",457.8K,1.10%
87,188,,YASSINE JARRAM@jarramyassine,Morocco,"Fitness
Coaching
Training",457.5K,1.80%
88,189,,Titiza  🚀💅@titizaofficial,Morocco,,452.4K,1.40%
89,190,,Nisrin erradi@nisrin_erradi,Morocco,"Actors
Modeling
Film",448.7K,0.90%
90,191,,🌬Othman Quadry@othman_qr,Morocco,"Lifestyle
Fashion",446.6K,5.80%
91,192,,BibaحَAyach@bibaayachofficial,Morocco,"Modeling
Publishing
Fashion
Celebrities
Photography
Film, Music & Books",445.8K,1.00%
92,193,,Salma Douma ( Officiel )@salmadouma,Morocco,"Modeling
Fashion
Photography",445.5K,0.80%
93,194,,T-flow | تي فلو@tflowtheking,Morocco,,443.4K,4.00%
94,195,,Équipe Nationale Marocaine 🇲🇦@officielfrmf,Morocco,Soccer,441.5K,1.50%
95,196,,RAJA CLUB ATHLETIC 💚@trollrajamondial,Morocco,"Soccer
Coaching
Actors
Music",433.7K,2.30%
96,197,,Moroccan Officiel@moroccan_officiel,Morocco,News&Politics,432.6K,0.20%
97,198,,@wiamdahmani,Morocco,"Modeling
Fashion",432.6K,1.10%
98,199,,lamyae alahyane@lamyaealahyane,Morocco,"Fashion
Lifestyle",431.5K,2.70%
99,200,,AmericanShop By Hanan@americanshop_byhanan,Morocco,"Art
Beauty",426.3K,0%
