,#,,@Username,Country,Topics,Followers,Engagement Rate
40,341,,charmebladi By Titima@charmebladi,Morocco,"Fashion
Lifestyle",259.3K,0.90%
41,342,,CAFTAN DU MAROC@caftandumaroc,Morocco,News&Politics,259.3K,0%
42,343,,Salma Amahzoune@salmaamahzoune,Morocco,,259.3K,3.80%
43,344,,Eman Al-Shmety - إيمان الشميطي@emanshmety,Morocco,"Singer
Modeling",257.2K,1.20%
44,345,,❤️Ka wty ❤️@demozelle_hm,Morocco,"Modeling
Music",255.9K,0.50%
45,346,,tabkh leila@tabkh_leila,Morocco,"Fashion
Gym
Modeling",255.6K,0.30%
46,347,,Said Bey officiel سعيد باي@saidbeyofficiel,Morocco,"Lifestyle
Fashion",255.6K,0.90%
47,348,,Hind@hind_ik,Morocco,"Fashion
Lifestyle",253.1K,0.70%
48,349,,Fashion.In.Morocco💙@fashion.in.morocco_,Morocco,"Fashion
Lifestyle
Styling",250.7K,0.10%
49,350,,♪ . ♬ ▪ 🇲🇮 🇩 🇴  ▪♬ .♪@mido.belahbib,Morocco,,250.1K,1.20%
50,351,,حلويات خديجة halawiyat khadija@halawiyatkhadija,Morocco,"Food
Restaurants",249.3K,0%
51,352,,Asmaa Khamlichi@asmaakhamlichiofficial,Morocco,"Lifestyle
Sports",249.3K,2.20%
52,353,,abdellahbensaidofficiel@abdellahbensaid_officiel,Morocco,,249.3K,0.20%
53,354,,D O U Z I  K A D E R@douzikader,Morocco,Modeling,249.3K,0.60%
54,355,,Omari Salma@salmaomariofficial,Morocco,"Music
Actors
Entertainment",248.8K,0.10%
55,356,,Salma 🇲🇦@salma_isai,Morocco,"Fashion
Lifestyle",247.1K,0.02%
56,357,,Narjiss El Hallak@narjiss.el_hallak,Morocco,,246.7K,5.00%
57,358,,NARIMANE Cosmetics@narimanecosmetics,Morocco,"Lifestyle
Beauty
Fashion",245.7K,0%
58,359,,AymanSenpai@aymansenpai,Morocco,"Music
Singer",245.7K,10.70%
59,360,,اسماء مولى الضهرة@mouladdahra_asmaa,Morocco,"Fashion
Gym
Modeling",245.5K,1.70%
60,361,,Yves Rocher Maroc@yvesrocherma,Morocco,"Lifestyle
Fashion",245.1K,0.30%
61,362,,Cooking with Imane@cooking_with_imane_official,Morocco,"Lifestyle
Sports
Fashion",244.9K,0.20%
62,363,,Souad Bouaida🇲🇦سعاد بوعيدة@souadbouaida,Morocco,,242.9K,0.50%
63,364,,Mahmoud El Youbi محمود اليوبي@mahmoud_maybakh,Morocco,"Lifestyle
Modeling
Fashion",242.3K,2.00%
64,365,,🌌 NANA 🌌@najwa_benbrahim,Morocco,Photography,241.3K,0%
65,366,,Fouad Qebibo@fouad_qebibo,Morocco,"Fashion
Lifestyle
Travel",239.9K,2.00%
66,367,,sana bouda influencer@boudatv,Morocco,"Fashion
Modeling
Hair & Beauty",237.9K,1.70%
67,368,,Kand7ak m3ak 😂 كنضحك معاك@kand7ak.m3ak,Morocco,,236.6K,0.90%
68,369,,Samia Dikouk@samiaofficial1,Morocco,"Modeling
Music",236.1K,0.01%
69,370,,Èquipe Nationale  Marocaine@equipe_de_maroc,Morocco,Soccer,236.1K,0.50%
70,371,,Imane EL Makeup Artist💄@imane__makeup,Morocco,"Art
Beauty",235.8K,2.80%
71,372,,Bushra's Cuisine 🇺🇸@bushras_cuisine,Morocco,"Food
Cooking
Chef",235.7K,0.40%
72,373,,مونية🇲🇦@mouniajaider_officiel,Morocco,"Fashion
Modeling
Lifestyle",235.4K,0.80%
73,374,,📍viva_ab_video2📍@viva_ab_video2,Morocco,"Styling
Modeling
Fashion",235K,0.80%
74,375,,khalid riad خالد رياض@khalid_riad_official,Morocco,,234.5K,0.02%
75,376,,MISAHA | مساحة 🎬@yossefaabou,Morocco,,233.9K,13.40%
76,377,,Didija Elhilali@elhilali_dija,Morocco,"Fashion
Modeling",232.8K,0.20%
77,378,,GUcci Girl️️️️🌈@dounya_fethiii,Morocco,Basketball,232.8K,0.40%
78,379,,Draganov@mr.draganov,Morocco,"Lifestyle
Fashion
Beauty",232.4K,8.50%
79,380,,H A M Z A 🇲🇦🇮🇶@hamzazmi,Morocco,"Training
Coaching
Fitness",230.9K,0.30%
80,381,,Nizar Idil@nizaridil1,Morocco,,230.5K,2.20%
81,382,,Kouskous@khalilkouskous,Morocco,"Music
Singer",229.4K,12.10%
82,383,,🥀 L A Y A N E 🥀🌌  لــــيَانْ🌌@layanechalile,Morocco,"Fashion
Modeling
Lifestyle",228.5K,0.30%
83,384,,bijouterie.niama ( Or 18k)@bijouterie.niama,Morocco,,227.8K,0.10%
84,385,,Alyousser shoop@alyousser.shoop,Morocco,Fashion,227.2K,0.10%
85,386,,أخبارالنجوم والفنانين المغاربة@akhbar_maghariba,Morocco,,227K,0.30%
86,387,,🦄Youngest Fashion Designer🦄@princessghaliarayhana,Morocco,"Tennis
Fashion
Moms",225.5K,0.20%
87,388,,Douaa / دعاء@yalvaris_guzel,Morocco,"Fashion
Modeling",225.5K,0.90%
88,389,,💟فاطمة الزهراء💟 Ofc account👊😻@bagh_bie,Morocco,,223.3K,2.70%
89,390,,Rachid Alaoui  (Mihabodytec)@rachidalaoui__,Morocco,"Lifestyle
Fashion",223K,0%
90,391,,▶ Insta_maroc.ma Ⓜ@insta_maroc.ma,Morocco,News&Politics,222K,2.10%
91,392,,Adil Assil@adilassil,Morocco,"Music
Singer",219.5K,1.60%
92,393,,ilhame.taouil@ilhame.taouil,Morocco,"Fashion
Modeling",218.1K,0%
93,394,,Mohamed El-Attar@mohamed_elattar2005,Morocco,"Soccer
Modeling",217.5K,0.40%
94,395,,Sara El Mokaddem@saraelmokaddem1,Morocco,"Fashion
Lifestyle
Modeling",214.9K,0.30%
95,396,,FlormarMorocco@flormar_maroc,Morocco,"Lifestyle
Fashion
Beauty",214.3K,0.10%
96,397,,Youssef Boughanem@youssefboughanem,Morocco,"Sports
Lifestyle",212.7K,5.70%
97,398,,mimi diamond@mimiidiamond,Morocco,,212.4K,1.60%
98,399,,Yasmina Olfi@fashionmintea,Morocco,"Fashion
Lifestyle
Styling",212.2K,1.40%
99,400,,machahir مشاهير@et.machahir,Morocco,,211.5K,0.50%
