,#,,@Username,Country,Topics,Followers,Engagement Rate
29,530,,Komy@komy_official,Morocco,"Modeling
Music
Fashion",152.9K,5.40%
30,531,,Adnane Mouhejja | عدنان موحجة@adnanemouhejjaofficiel,Morocco,Soccer,152.2K,0%
31,532,,H O U D A    B O U N A D D I@touta.b,Morocco,"Fashion
Moms
Lifestyle",151.8K,1.70%
32,533,,Barcelona HD@barcelona__hd,Morocco,Soccer,151.6K,0.40%
33,534,,Yousramaimouni|حساب للابتسامة@yousramaimouniofficiel,Morocco,"Photography
Travel",151K,0%
34,535,,Zineb Lahnine  🛍@zineblahnine,Morocco,"Lifestyle
Beauty
Fashion",150.2K,0%
35,536,,Youness Lrhilrha@younesslrhilrha,Morocco,Fashion,150.1K,4.60%
36,537,,Bijouterie sabri🇲🇦@bijouteriesabri,Morocco,,150K,0%
37,538,,O U S S A M A  J A Â M I © 🇲🇦@ossamajaami,Morocco,Fashion,149.4K,1.50%
38,539,,styliste Abir el yassini@styliste_abir_elyassini,Morocco,"Fashion
Styling
Modeling",149.2K,0%
39,540,,Sanae Rayhani@krtasnssa_officiel,Morocco,,148.7K,8.60%
40,541,,Nina@ninaprestige_,Morocco,"Music
Fashion
Lifestyle",147.5K,0%
41,542,,•F A T I M A  Z A H R A E•@fvtijm,Morocco,"Fashion
Lifestyle
Modeling",146.9K,4.50%
42,543,,🥀 SALMA ••• 🇲🇦@selma.atif,Morocco,"Fashion
Lifestyle
Art",146.7K,4.40%
43,544,,Makeup Artist iatimad@makeupartistiatimad,Morocco,"Art
Beauty",146.3K,0.10%
44,545,,A S S O U M A  أسومة@assouma_beauty,Morocco,"Lifestyle
Beauty
Fashion",146.3K,1.30%
45,546,,Jalila Talemsi Officiel@jalilatalemsi,Morocco,,146.1K,0.80%
46,547,,# Fashionmostafaa@fashionmostafaa,Morocco,"Fashion
Celebrities
Design",145.4K,4.00%
47,548,,Chey آميره@amira_cheey,Morocco,"Fashion
Lifestyle
Modeling",145.2K,0.01%
48,549,,Decathlon Maroc@decathlon.ma,Morocco,"Lifestyle
Sports
Travel",144.8K,0.40%
49,550,,Artiste 🔵@drisslahlou01,Morocco,"Art
Modeling
Fashion",144.8K,0.90%
50,551,,The Cherry Blossom@zinebrachid,Morocco,"Fashion
Lifestyle
Styling",144.7K,2.30%
51,552,,KARIM DRIF كريم الظريف@karimdrif7,Morocco,"Fashion
Modeling",144.7K,0%
52,553,,Imane ( Rimane Beauty )@rimane_beauty,Morocco,"Art
Beauty
Fashion",144.6K,1.50%
53,554,,⠀⠀⠀⠀⠀⠀⠀⠀⠀   ⠀H a r i k a   O L@harikaol,Morocco,"Fashion
Celebrities
Hair & Beauty
Health & Fitness
Design",144.2K,3.00%
54,555,,sbitar 36@sbiitar__36,Morocco,,143.6K,1.50%
55,556,,ᴍᴀʀᴏᴜᴀɴᴇ ᴋʜᴀᴛɪᴍ   🇲🇦@marouane_khatim,Morocco,"Fashion
Travel",143K,2.70%
56,557,,lailakamil@cuisine_lailakamil,Morocco,,143K,0.30%
57,558,,Snap 👻 Hatem-Sandy@hatemsandy,Morocco,,142.5K,3.50%
58,559,,🌸Fatima-Ezzahra 🎀فاطمة الزهراء@fateez_,Morocco,Writers,142K,6.70%
59,560,,Souraya | سورية@oubillla,Morocco,"Fashion
Lifestyle
Modeling",141.5K,4.00%
60,561,,Zaïna Aguenaou 🦘@zainaaguenaou,Morocco,"Lifestyle
Fashion
Health & Fitness
Hair & Beauty
Celebrities",141.3K,3.50%
61,562,,THE SAVANNAH 🌴@the__savannah,Morocco,"Music
Travel
Adventure
Photography",141K,5.80%
62,563,,BYS Cosmetics Maroc Officiel@byscosmeticsmaroc,Morocco,"Beauty
Art",140.7K,0.10%
63,564,,Sy Mehdi@symehdi1_officiel,Morocco,,140.4K,0.60%
64,565,,تونسية 🇹🇳 //مغربية🇲🇦@sabrina.sadkaoui,Morocco,"Modeling
Fashion",139.4K,0.50%
65,566,,Ichrak Youtuber officiel✌🌞@ichrak.beauty,Morocco,"Fashion
Lifestyle",138.5K,4.50%
66,567,,Infinix Morocco@infinixmorocco,Morocco,,138.5K,0.10%
67,568,,Ines Camilia Tazi@taziines,Morocco,"Fashion
Lifestyle",138.2K,9.20%
68,569,,Ouadih Dada@ouadih_dada,Morocco,"Lifestyle
Sports",138.1K,0.20%
69,570,,• | Imane Asoula | •@imane_asoula,Morocco,"Fashion
Modeling",137.9K,3.70%
70,571,,🌟 وداد العمري 🌟@w_idad,Morocco,"Fashion
Lifestyle
Styling",137.6K,1.30%
71,572,,YASSMINA@yassminajh,Morocco,"Lifestyle
Fashion
Sports
Technology
Celebrities",136.5K,0.40%
72,573,,MarouaneMZIRIRA | Filmmaker@marouanemzirira,Morocco,"Soccer
Lifestyle",136.3K,0.90%
73,574,,Wild Clothing@_wild_clothing,Morocco,"Fashion
Styling
Lifestyle",135.2K,0.90%
74,575,,Afaf&Marwa@afafandmarwa,Morocco,"Fashion
Lifestyle
Travel
Hair & Beauty
Celebrities",135K,2.00%
75,576,,Rita_Trendy@rita_trendy,Morocco,"Fashion
Lifestyle",135K,2.20%
76,577,,febrayer.com@febrayerofficiel,Morocco,Modeling,134.9K,0.10%
77,578,,𝐿𝑜𝒻𝓁𝓊𝓍𝓊𝓇𝓎@lofluxury,Morocco,"Fashion
Lifestyle
Modeling",134.8K,2.10%
78,579,,Yassine hairstyle@yassine_hairstyle,Morocco,"Styling
Fashion
Hair Salons",134.7K,2.90%
79,580,,Patrick Baiata Official@patrick_baiata,Morocco,"Fashion
Modeling",133.4K,3.00%
80,581,,Bouchama wafaa🐪@sahara_glamour_,Morocco,"Fashion
Modeling",132.5K,0.10%
81,582,,🌕🌖🌑﷽ سي محمد حدوز 🌑🌖🌕Ⓜ️️️️@simohamedhaddouz1,Morocco,"Fashion
Modeling
Fashion Design",132.2K,0.80%
82,583,,👑 Mly Amine Daoui Batma 👑@aminedaoui.officiel,Morocco,Modeling,132K,0%
83,584,,Nasser36😂🎬@nassertv1,Morocco,"Fashion
Beauty
Modeling",132K,12.00%
84,585,,Zakaria Mohafid | Lmech 🐱@zakariamohafid,Morocco,"Fashion
Modeling
Lifestyle",131K,1.40%
85,586,,Chikito Lema Mabidi Officiel@chikitolemamabidi,Morocco,"Soccer
Sports",130.9K,2.60%
86,587,,خَالٌتي ٌالطِّيَابَة@khalti_teyaba,Morocco,,130.6K,0.20%
87,588,,AwAtiF▪️Fashionista/Youtuber@assrarbeauty,Morocco,"Fashion
Moms
Lifestyle",130.5K,0.20%
88,589,,Mouhcine Malzi@mouhcinemalziofficiel,Morocco,"Actors
Lifestyle
Sports
Music",130.5K,2.20%
89,590,,a l i c e + g a b y@leriadyasmine,Morocco,"Photography
Nature & Outdoors
Travel
Architecture",130.3K,1.20%
90,591,,🎼 O T H M A N - M A Y O R 🎼@othman.mayor,Morocco,"Music
Singer",130.1K,0.10%
91,592,,لالة_عديلة_المفريبية@lala_3adila,Morocco,"Fashion
Gym
Modeling",130.1K,0.30%
92,593,,Nadia Kounda@nadiakoundaofficial,Morocco,"Actors
Lifestyle
Fashion
Sports",129.8K,2.60%
93,594,,𝕲𝖓𝖆𝖜𝖎@gnawiofficial,Morocco,Modeling,129.5K,6.00%
94,595,,Fatiha amine   فتيحة امين@fatihaamineofficiel,Morocco,,129K,0.30%
95,596,,Maroc/المغرب🇲🇦@maryembout,Morocco,"Fashion
Lifestyle
Modeling",128.1K,0%
96,597,,Salma Oubriim Fashion designer@salma_oubriim_fashiondesigner,Morocco,"Fashion
Lifestyle
Fashion Design",127.2K,0.10%
97,598,,Micha PT@michafit,Morocco,"Training
Fitness
Coaching",127K,7.20%
98,599,,Zina official@9anatzina,Morocco,Fashion,126.9K,0.30%
99,600,,👑anass69666👑@hox_khoo,Morocco,"Soccer
Fashion",126.5K,0.10%
