index,#,,@Username,Country,Topics,Followers,Engagement Rate
33,134,,SALWA ANLOUF 👑 سلوى أنلوف@salwaanlouff,Morocco,"Fashion
Lifestyle",607.4K,8.10%
34,135,,Bouba C’est Mon Nom De Famille@youssefbouba,Morocco,Actors,606.3K,4.20%
35,136,,Tattoos Inspiration & Ideas@ink.tatts,Morocco,"Art
Piercing
Celebrities
Hair & Beauty
Fashion",602.4K,0.40%
36,137,,VΛN \ فّان 🇲🇦@djvan_bk,Morocco,"Music
Singer
Entertainment",601.8K,0%
37,138,,Kamar Saadaoui@hamaka_officiel,Morocco,"Fashion
Lifestyle
Modeling",596K,1.50%
38,139,,munir Mohamedi@muny1,Morocco,Soccer,595.8K,2.20%
39,140,,Mister You@mryouofficial,Morocco,,586.2K,6.50%
40,141,,🌸 Hindziadi - هند زيادي  🌸@hindziadi,Morocco,,585K,5.60%
41,142,,رضوان برحيل - REDONE BERHIL@redoneberhil,Morocco,,584.5K,0.60%
42,143,,Zinab Oussama / زينب أسامة@zinaboussama01,Morocco,,580.7K,0.30%
43,144,,Farah Abelhadj@farah.farabian,Morocco,"Lifestyle
Fashion",577K,0.70%
44,145,,مسلسل حب أعمى ❤️@lo_ovee,Morocco,,570.9K,0.80%
45,146,,Sonia Ngadi@soniangadi,Morocco,"Lifestyle
Fashion",569.5K,0.90%
46,147,,Ahlam charaf eddine@ahlamcharafeddine,Morocco,"Moms
Fashion",565.9K,0.40%
47,148,,Sortir Au Maroc@sortiraumaroc,Morocco,"Lifestyle
Sports
Fashion",561.7K,0%
48,149,,K H A O U L A / خولة  علوي🇲🇦@khaoulaalaouii_1,Morocco,,556.5K,0.40%
49,150,,💎الإخوة 👫 علي و مريم الزايدي@alii_ezzaidi1,Morocco,,551.4K,7.90%
50,151,,Fadwa  Fakhari 💄@fadwa.fakhari,Morocco,"Fashion
Lifestyle",547.8K,4.30%
51,152,,Call me Rita or ام الغيث 🐺✨👑@wolfie_bby,Morocco,"Fashion
Modeling
Actors",544.9K,7.30%
52,153,,Hend Star Official@hendstarofficial,Morocco,"Fashion
Modeling",543.8K,0.80%
53,154,,𝐀𝐲𝐨𝐮𝐛 𝐈𝐝𝐫𝐢 𝐎𝐟𝐟𝐢𝐜𝐢𝐞𝐥@ayoubidri,Morocco,,543.1K,4.70%
54,155,,LIOMET SARL@liomet_boutique,Morocco,"Modeling
Fashion",542.9K,0%
55,156,,Mehdi Bennani@mehdibennani_25,Morocco,,536.9K,0.20%
56,157,,Somadina_officiel️💎@dina__officiel,Morocco,"Soccer
Music",535K,1.40%
57,158,,هند المكاوي@hindelmekaoui,Morocco,"Art
Beauty
Events",530.6K,0.70%
58,159,,Maya Dbaich Officiel@maya_dbaich_officiel,Morocco,"Dance
Choreographer
Modeling",526.5K,1.80%
59,160,,S H I E M A E  👑  شيماء@shiemae_,Morocco,,525.8K,0%
60,161,,خياطة الرندة و الطرز والتنبات@randa__tarz_,Morocco,"Coaching
Fitness",524.3K,0.10%
61,162,,Elbotola : البطولة@elbotola,Morocco,Soccer,519.4K,0%
62,163,,Adil Echbiy 🇲🇦 عادل إشبي@echbiyadil,Morocco,,514.3K,1.10%
63,164,,Jamal Ben Saddik@jamalbensaddik,Morocco,Modeling,507.3K,5.10%
64,165,,Lamia Zaidi | لمياء الزايدي@lamiazaidi,Morocco,"Music
Singer
Modeling",505.8K,0.20%
65,166,,Y A S M E R i Z@yasmeriz,Morocco,,502.5K,0.90%
66,167,,Najat Aatabou - نجاة اعتابو@najataatabou1,Morocco,"Fashion
Lifestyle
Modeling",499.4K,0.60%
67,168,,Jordan Taylor Wright@taylorcutfilms,Morocco,"Photography
Modeling
Fashion",499.1K,0.80%
68,169,,🕶⚪👓🔴🕶🔵BIENVENUE🔵🕶🔴👓⚪🕶@reflex_optic_officiel,Morocco,,498.5K,0.70%
69,170,,Doc samad@doc_samad,Morocco,"Lifestyle
Fashion",496.7K,0.30%
70,171,,Reda El Maroufi@relm_27,Morocco,"Entrepreneur
Business",495.8K,1.90%
71,172,,Anouar Farhat@anouarfarhat,Morocco,"Music
Entertainment",490.4K,8.10%
72,173,,Khalid Sheriff@khalidsheriff,Morocco,"Fashion
Lifestyle
Modeling",490K,0.80%
73,174,,Amina Dehbi | أمينة الذهبي@amina.dehbi,Morocco,Video Blogger,488.7K,4.90%
74,175,,Romeo Couture Officiel@romeo_couture_officiel,Morocco,"Fashion
Fashion Design
Modeling",480.3K,0.20%
75,176,,MRT N1 AU 🇲🇦@moroccanraptrolls,Morocco,"Singer
Music
Entertainment",480.1K,1.30%
76,177,,Ali Ssamid علي الصامد@alissamid,Morocco,,477.8K,2.30%
77,178,,HAFSA@hafsael_,Morocco,"Beauty
Art
Business",474.9K,1.80%
78,179,,DJ Hamida@djhamidaofficiel,Morocco,"Lifestyle
Art
Music",469.6K,0.90%
79,180,,saadia ladib@ladibsaadiaofficiel,Morocco,Actors,468.5K,0.90%
80,181,,OULFA@oulfaxoul,Morocco,"Fashion
Beauty
Art",467K,5.20%
81,182,,𝕬𝖒𝖆𝖑 𝕭𝖊𝖓 𝕸𝖔𝖍𝖆𝖒𝖊𝖉 🕊 أمل بن محمد@amal_ben_muhamed,Morocco,Fashion,466.2K,2.30%
82,183,,Loubna 36 🤪🎬@loubna_mourid,Morocco,"Fashion
Lifestyle
Styling",463.6K,1.90%
83,184,,Fashion & InstaBlogger@chaimaa_mab,Morocco,"Fashion
Modeling
Photography",462.2K,1.10%
84,185,,Şeyma Korkmaz/TuRuNCu@seymakorkmaz,Morocco,,460.3K,2.00%
85,186,,Samira EL BELOUI@s.elbeloui,Morocco,,458.6K,0.90%
86,187,,🌍PAGE OF THE WORLD🌍@les_couples_marocains1,Morocco,"Modeling
Fashion",457.8K,1.10%
87,188,,YASSINE JARRAM@jarramyassine,Morocco,"Fitness
Coaching
Training",457.5K,1.80%
88,189,,Titiza  🚀💅@titizaofficial,Morocco,,452.4K,1.40%
89,190,,Nisrin erradi@nisrin_erradi,Morocco,"Actors
Modeling
Film",448.7K,0.90%
90,191,,🌬Othman Quadry@othman_qr,Morocco,"Lifestyle
Fashion",446.6K,5.80%
91,192,,BibaحَAyach@bibaayachofficial,Morocco,"Modeling
Publishing
Fashion
Celebrities
Photography
Film, Music & Books",445.8K,1.00%
92,193,,Salma Douma ( Officiel )@salmadouma,Morocco,"Modeling
Fashion
Photography",445.5K,0.80%
93,194,,T-flow | تي فلو@tflowtheking,Morocco,,443.4K,4.00%
94,195,,Équipe Nationale Marocaine 🇲🇦@officielfrmf,Morocco,Soccer,441.5K,1.50%
95,196,,RAJA CLUB ATHLETIC 💚@trollrajamondial,Morocco,"Soccer
Coaching
Actors
Music",433.7K,2.30%
96,197,,Moroccan Officiel@moroccan_officiel,Morocco,News&Politics,432.6K,0.20%
97,198,,@wiamdahmani,Morocco,"Modeling
Fashion",432.6K,1.10%
98,199,,lamyae alahyane@lamyaealahyane,Morocco,"Fashion
Lifestyle",431.5K,2.70%
99,200,,AmericanShop By Hanan@americanshop_byhanan,Morocco,"Art
Beauty",426.3K,0%
0,201,,Fadwa El Bani@fadwaelbani,Morocco,"Fashion
Travel",425.9K,0.30%
1,202,,Fatima Ezzahra Lahrech@fatimaezzahra_lahrech.officiel,Morocco,"Lifestyle
Fashion",425.4K,3.50%
2,203,,khalid lidlissi@khalidlidlissi,Morocco,"Art
Modeling
Music",425K,14.30%
3,204,,Meryam Bakouche مريم باكوش@meryambakoucheofficiel,Morocco,"Fashion
Modeling",420.5K,0%
4,205,,Mehdi Benkirane@mehdibenkirane,Morocco,,419.7K,0.70%
5,206,,Abdullah Alhoumse@abdullahalhoumse,Morocco,,417K,0%
6,207,,🇲🇦🌹Moroccan special page 🌹🇲🇦@beauties_of_morocco,Morocco,"Fashion
Modeling
Celebrities",412K,0%
7,208,,Beauty.g.morocco 🇩🇪🇪🇺 🇲🇦@beauty.g.morocco,Morocco,"Beauty
Art",411.4K,0%
8,209,,Imad Magician@imadmagician,Morocco,,411.1K,1.60%
9,210,,El Idrissi Otmane 🇲🇦@elidrissiotmaneoff,Morocco,"Lifestyle
Fitness
Modeling",408.6K,2.20%
10,211,,لآلة البرگاگة 😇@lbergaga.officiel,Morocco,"Fashion
Modeling",408.5K,0.40%
11,212,,Imad Benaomar@imadbenaomar,Morocco,"Music
Singer
Entertainment",408.4K,1.20%
12,213,,Mrs Sahel 💍💃@kawtarraghay,Morocco,,407K,8.70%
13,214,,مريم أصواب | Meryem asouab@fans.asouab.meryem,Morocco,,403.9K,0.70%
14,215,,Amine Filali@amine_filali1,Morocco,"Photography
Travel
Fashion",399.2K,1.90%
15,216,,Douja Belkhayat@doujablk,Morocco,"Fashion
Lifestyle",394.6K,2.80%
16,217,,girls fashion💎💎@girls_faashion_,Morocco,"Video Games
Fashion
Lifestyle
Modeling",394.2K,0.10%
17,218,,Simo Benbachir@simobenbachir,Morocco,Journalists,390.5K,0.10%
18,219,,😍 Amirà Alinàà 😍@amira.alinaa,Morocco,"Fashion
Modeling",385.6K,1.20%
19,220,,Zineb saberberrich@zinebsaberberrich,Morocco,"Music
Fashion",383.3K,1.00%
20,221,,Khalil Mouad@khalilmouad,Morocco,,379.7K,14.40%
21,222,,Farid Ghannam فريد غنام@ghannamfarid,Morocco,,379.7K,1.30%
22,223,,Fashion Style@land_of_beauty__,Morocco,"Fashion
Styling
Lifestyle",379K,0.20%
23,224,,mᎾuᏁᎥᎪ sᎬᏁhᎪjᎥ@mouniasenhaji,Morocco,"Lifestyle
Fashion
Beauty",378.9K,0.70%
24,225,,김미소@kimmiso1194,Morocco,"Modeling
Actors
Art",377.4K,3.70%
25,226,,Jawad EL Yamiq@jawadelyamiq,Morocco,Soccer,375.6K,4.70%
26,227,,الحساب الرسمي الوحيد للافنيده@lalla_fanida,Morocco,,372K,0.50%
27,228,,Mme Ikram 🇲🇦 إكرام 🇲🇦@tester_a_casablanca,Morocco,"Lifestyle
Sports
Food",372K,0%
28,229,,#الادمن: محمد الزعبوزي@maroc.tv_,Morocco,,370.5K,0.30%
29,230,,LC Waikiki المغرب‎‎@lcwaikiki.morocco,Morocco,"Lifestyle
Fashion
Sports",369.4K,0.20%
30,231,,Sahar Zerouali@saharyzerouali,Morocco,"Moms
Fashion
Lifestyle",369K,1.20%
31,232,,MADD 🇲🇦@itsmemadd,Morocco,"Music
Singer
Entertainment",365.6K,11.00%
32,233,,Anas Zniti@anas_zniti01,Morocco,,364.5K,7.70%
33,234,,سومةSouma@soumatv,Morocco,"Lifestyle
Fashion
Beauty",363.6K,1.70%
34,235,,AZIZ DADAS - عزيز داداس@azizdadasofficiel,Morocco,Beauty,363.4K,1.50%
35,236,,Meriem Ezzaidi@meriem.ezzaidi,Morocco,,363.3K,6.00%
36,237,,Simo Life 👍🇲🇦❤️@simolifedotcom,Morocco,"Business
Entrepreneur
Luxury",361.7K,9.40%
37,238,,zineb el morhir@zinebelmorhir,Morocco,,361.3K,0.60%
38,239,,🌟Otman akessou🌟@otman_akes,Morocco,"Fashion
Lifestyle
Styling
Photography",361.2K,1.10%
39,240,,The Moroccan Fashion@the_mroocan_fashion,Morocco,"Fashion
Lifestyle
Styling",358.8K,0.30%
40,241,,NARIMANE ناريمان@narimaneofficial,Morocco,"Moms
Fashion
Lifestyle",357.9K,3.10%
41,242,,Morocco Talks Football@moroccotalksfootball,Morocco,Soccer,357.2K,0.70%
42,243,,HAYTAM ALAOUI@haytam.alaoui,Morocco,"Beauty
Art
Fashion",356K,5.40%
43,244,,Beauty Addict Meryem@beauty_addict_meryem,Morocco,"Fashion
Lifestyle
Beauty",355.5K,1.80%
44,245,,Fatina Tiskat@fatinatiskatofficiel,Morocco,"Actors
Travel
Modeling",354K,0.70%
45,246,,Olivieer Konan@olivieer,Morocco,"Celebrities
Technology",353.7K,0%
46,247,,Ali Belabess@alibelabess,Morocco,"Fashion
Modeling",353K,1.10%
47,248,,Jumia Maroc@jumiamaroc,Morocco,"Lifestyle
Fashion
Beauty",350.5K,0.10%
48,249,,فاطمة معزي 🧝🏻‍♀️🧝🏻‍♀️@fatima_maazi_officiel,Morocco,,350.2K,0.40%
49,250,,Nisrine ElKettaniنسرين الكتاني@nisrineelkettani,Morocco,"Lifestyle
Fashion
Art",348.2K,1.30%
50,251,,MISTER SALIM@mistersalim_officiel,Morocco,"Lifestyle
Sports",346.5K,3.50%
51,252,,Zineb MERRAS@zei_life,Morocco,"Moms
Beauty
Art",346K,1.50%
52,253,,Boussalem Mohammed بوسالم محمد@boussalemofficiel,Morocco,"Modeling
Photography
Fitness",345.9K,0.10%
53,254,,☕آل_ريتااج | Ãch_BoůChrā ☕@al_ritaaj,Morocco,"Lifestyle
Fashion",345.3K,0.70%
54,255,,cuisinouafae@cuizinouafae,Morocco,"Choreographer
Dance",343.7K,0.10%
55,256,,الموضة المغربية للنساء فقط@fatimamaghribia1,Morocco,Moms,339.7K,0.20%
56,257,,Amine Ouizid@amine_hls,Morocco,"Lifestyle
Fashion
Sports",338.8K,5.40%
57,258,,الطبخ و البيت مع انتصار@intissar.youtube,Morocco,Moms,337.2K,1.00%
58,259,,Zikalooks@zikalooks,Morocco,"Art
Beauty",333.9K,0.90%
59,260,,Nabil Layachi@nabillayachiofficiel,Morocco,Fashion,333.9K,0.40%
60,261,,ماجدولين نزيه 🔥@majdouline_nazih,Morocco,"Art
Beauty
Business",332K,2.20%
61,262,,Caftan Inspiration By Noor 🦋@caftan_inspiration,Morocco,Fashion Design,331.8K,0.20%
62,263,,🌼  Leila Zaoui  🌼@tout_pour_se_faire_belle,Morocco,"Lifestyle
Sports
Fashion",328.1K,1.90%
63,264,,Chada TV@chadatvofficiel,Morocco,"Music
Modeling
Actors",327.8K,0.10%
64,265,,فهد الهاشمي | Fahd El Hachimi@fahd.elhachimi,Morocco,Journalists,326.7K,0.40%
65,266,,AYA💖@abaakilaya,Morocco,"Fitness
Training
Coaching",324.6K,5.50%
